	Код	Артикул	Номенклатура	Остаток организации	Цена	Единица измерения	Валюта
	00000018131		0180 Абразивні диски Premium Gold 150мм, 15 отв., Р180.УКТ ЗЕД 6805300090			Штука	
	00000018010		01927  Вовн.полірувальник .д/пасти №1,2 Перфект-іт ІІІ діам.132мм.УКТ ЗЕД 5911901000			Штука	
	00000017398		01970  Водостійкий абразивний папір 734 Р1200  230*280мм.УКТ ЗЕД 6805200090			Штука	
	00000018206		01971 Водостійкий абразивний папір 734 Р1000 230х280.УКТ ЗЕД 6805200090			Штука	
	00000017397		01972 Водостійкий абразивний папір 734 Р800 230*280мм.УКТ ЗЕД 6805200090			Штука	
	00000017768		01973 Водостійкий абразивний папір 734 Р600 230*280мм.УКТ ЗЕД 6805200090			Штука	
	00000018124		01975 3M Водостійкий абразивний папір  230 х 280мм P400.УКТ ЗЕД 6805200090			Штука	
	00000017718		01976 Водостійкий абразивний папір 734 Р360 230*280мм.УКТ ЗЕД 6805200090			Штука	
	00000018565		01979 Нажд.листи 240.УКТ ЗЕД 6805200090			Штука	
	00000017760		02045 Водостійкий абразивний папір  401Q P2500 138х230 мм.УКТ ЗЕД 6805200090			Штука	
	00000018439		02047 Trizact 1000 Абразивні насадки 20/упак.УКТ ЗЕД 6805300090			Штука	
	00000017626		02048  Водостійкий абразивний папір 401Q Р1500 138х230мм  PN 09545.УКТ ЗЕД 6805200090			Штука	
	00000017627		02049 Водостійкий абраз.папір  401Q P2000 138х230 мм.УКТ ЗЕД 6805200090			Штука	
	00000018438		02080 Trizact 1500 Абразивні насадки 20/упак.УКТ ЗЕД 6805300090			Штука	
	00000018140		0220 Абразивний матеріал Q30-300 в кругах  150мм, 75 отв., Р220.УКТ ЗЕД 6805300090			Штука	
	00000018132		0220 Абразивні диски Premium Gold 150мм, 15 отв., Р220.УКТ ЗЕД 6805300090			Штука	
	00000017623		0240 Абразивний матеріал Q30-300 в кругах  150мм, 75 отв., Р240.УКТ ЗЕД 6805300090			Штука	
	00000018079		0240 Абразивні диски Premium Gold 150мм, 15 отв., Р240.УКТ ЗЕД 6805300090			Штука	
	00000017327		02601 Абразивні губки Softback ультратонкі 139мм*114мм.УКТ ЗЕД 6805300090			Штука	
	00000018094		03020/08302 Склоканва 50мм*25м.УКТ ЗЕД 7019400000			рулон	
	00000018561		03171 Диск для очищення металу, діаметр 10.1см.УКТ ЗЕД 6805300090			Штука	
	00000017836		03172 Диск для очищення металу, діаметр 10.1см.УКТ ЗЕД 6805300090			Штука	
	00000017905		03173 Диск для очищення металу, діаметр 12.7см.УКТ ЗЕД 6805300090			Штука	
	00000018141		0320 Абразивний матеріал Q30-300 в кругах  150мм, 75 отв., Р320.УКТ ЗЕД 6805300090			Штука	
	00000018080		0320 Абразивні диски Premium Gold 150мм, 15 отв., Р320.УКТ ЗЕД 6805300090			Штука	
	00000018367		0357 Шпатель для нанесення та змішування шпаклівки ( пак.3шт.).УКТ ЗЕД 3926909290			Пакунок	
	00000017842		0357 Шпатель для нанесення та змішування шпаклівки ( упак.3шт.).УКТ ЗЕД 3926909290			Пакунок	
	00000018142		0400 Абразивний матеріал Q30-300 в кругах  150мм, 75 отв., Р400.УКТ ЗЕД 6805300090			Штука	
	00000018133		0400 Абразивні диски Premium Gold 150мм, 15 отв., Р400.УКТ ЗЕД 6805300090			Штука	
	00000017698		04396 Рулони для "сухого" шліфування 255Р Р180 115мм*50м.УКТ ЗЕД 6805200090			рулон	
	00000017699		04398 Рулони для "сухого" шліфування 255Р Р120 115мм*50м.УКТ ЗЕД 6805200090			рулон	
	00000018478		04399 Рулони для "сухого" шліфування 255Р Р100 115ммх50м.УКТ ЗЕД 6805200090			рулон	
	00000018290		04400 Рулони для "сухого" шліфування 255Р Р80 115мм*50м.УКТ ЗЕД 6805200090			рулон	
	00000018143		0500 Абразивний матеріал Q30-300 в кругах  150мм, 75 отв., Р500.УКТ ЗЕД 6805300090			Штука	
	00000018134		0500 Абразивні диски Premium Gold 150мм, 15 отв., Р500.УКТ ЗЕД 6805300090			Штука	
	00000018371		05170 Малий шліфок нукіт 70*127 мм мультиотвірний.УКТ ЗЕД 8205598090			Штука	
	00000018372		05171 Середній шліфок Нукіт мультиотвірний  70*198 мм.УКТ ЗЕД 8205598090			Штука	
	00000017481		05172 Довгий шліфок hookit 707D 70*396 мм.УКТ ЗЕД 8205598090			Штука	
	00000018307		052239 Зірки спеціальн д/витягування з мідн покрит (20шт).УКТ ЗЕД 8302490090			Сто штук	
	00000017567		05517 Гумовий ракель 60мм*108мм.УКТ ЗЕД 4016999790			Штука	
	00000017662		05519 Гумовий шліфок.УКТ ЗЕД 4016999990			Штука	
	00000017293		05526 М'яка ручна оправка.УКТ ЗЕД 3926909290			Штука	
	00000017487		05600 Абразивні диски  трайзик Р1500 150мм.УКТ ЗЕД 6805300090			Штука	
	00000017770		05662А Акрилова шпаклівка MARINE 200мл.УКТ ЗЕД 3214900090			банка	
	00000017797		05726 Багаторазовый пол-к полір №3.УКТ ЗЕД 3926909290			Штука	
	00000017920		05742 Малий шліфок HOOKIT м'який 70мм*127мм.УКТ ЗЕД 8205598090			Штука	
	00000017997		05774 М'яка підкладка для дисків.УКТ ЗЕД 3926909290			Штука	
	00000018262		05809 Диски Clean & Strip пурп ХТ-ZS (100х13ммх6).УКТ ЗЕД 6805300090			Штука	
	00000018346		05815 Диски Clean & Strip XT-ZR (125х13мм).УКТ ЗЕД 6805300090			Штука	
	00000017326		05816 Фіброві плоскі диски  Клін-н-стріп 115*22.УКТ ЗЕД 6805300090			Штука	
	00000018093		05900 Гнучкий клей-шпатлівка 150мл.УКТ ЗЕД 3214109090			Штука	
	00000017939		05917 Очищувач 0,2.УКТ ЗЕД 3506100098			Штука	
	00000018076		06.2071075 Підлоговий фільтр (Paint Stop)  ,0,75х20м.УКТ ЗЕД 7019900000			Штука	
	00000017944		06.2071100 Підлоговий фільтр (Paint Stop)  , 1х20м.УКТ ЗЕД 7019900000			Штука	
	00000018135		0600 Абразивні диски Premium Gold 150мм, 15 отв., Р600.УКТ ЗЕД 6805300090			Штука	
	00000017999		06002  Абразивна паста Finesse-IT особливо тонка  3м (3,78Л).УКТ ЗЕД 3405901090			Штука	
	00000017347		06282 Маскувальний папір 600мм*400м.УКТ ЗЕД 4811900000			рулон	
	00000017343		06283 Маскувальний папір 900мм*400м.УКТ ЗЕД 4811900000			рулон	
	00000018023		06291 Маскувальний папір 300ммх400мм.УКТ ЗЕД 4811900000			рулон	
	00000017341		06304 Малярна стрічка 2328 рулон 18ммх50м.УКТ ЗЕД 4811419000			рулон	
	00000017350		06309 Малярна стрічка 2328 рулон 24мм*50м25 мм.УКТ ЗЕД 4811419000			рулон	
	00000017589		06310 Малярна стрічка 2328 стандарт рулон  30ммх50м.УКТ ЗЕД 4811419000			рулон	
	00000017395		06311 Малярна стрічка 2328 рулон  36х50мм.УКТ ЗЕД 4811419000			рулон	
	00000017315		06313 Малярна стрічка 2328 рулон  48ммх50м.УКТ ЗЕД 4811419000			рулон	
	00000017917		06347 Маск.стрічка для вклеєного скла 50мм 8мм*10м.УКТ ЗЕД 3919101900			рулон	
	00000017791		06349 Маск. стрічка для вклеєного  скла 50мм* 10мм*10мм.УКТ ЗЕД 3919101900			рулон	
	00000017597		06405  21254/06405 Синя маскуюча стрічка 471(рул 6ммх33м).УКТ ЗЕД 3919101200			рулон	
	00000017595		06525 Маскувальна стрічка для точних і чітких границь  6ммх55м.УКТ ЗЕД 4811419000			рулон	
	00000018245		0669230121 Круг відрізний  GREEN-A2-SR-TH1.0-BR22.23-D125MM.УКТ ЗЕД 6804221800			Штука	
	00000017452		06800 Маскувальна плівка.УКТ ЗЕД 3919101500			рулон	
	00000018443		06975 Захисна стрічка 3939 рулон  48 мм*55м.УКТ ЗЕД 3919101200			рулон	
	00000018417		07447 Скотч-брайт  надтонкий,червоний  158мм*224мм.УКТ ЗЕД 6805300090			Штука	
	00000018347		07498 Диск для зняття клейк.стрічок діам.100ммх12мм.УКТ ЗЕД 6805300090			Штука	
	00000017428		07499 Диск для зняття клейк.стрічок діам. 100х12мм.УКТ ЗЕД 6805300090			Штука	
	00000017996		07838  Прозора маскув. плівка, 115 град рулон 4м*150м.УКТ ЗЕД 3920104000			рулон	
	00000018391		07904 Скотч-брайт листи в рул. сірі  150х115  35 шт.УКТ ЗЕД 6805300090			рулон	
	00000017297		07910 Липкі серветки  Tack Pad  175мм*235мм.УКТ ЗЕД 6307103000			Штука	
	00000017596		07934 Диски Clean & XT-DC пурп. діам.150мм*13мм.УКТ ЗЕД 6805300090			Штука	
	00000018316		08069 Клейкі стрічки для емблем молдингів 5.1х30.5 см.УКТ ЗЕД 3919900012			Штука	
	00000018257		08115 Клей для з'єднання панелей  СЕЕМЕА 6* 200мл.УКТ ЗЕД 3506100098			Штука	
	00000018038		08155 Клей  швидкої дії 28,3г.УКТ ЗЕД 3506100098			Бутель	
	00000018567		08365  Бежевий , багатоцільовий герметик  ПУ , картридж 310 мл.УКТ ЗЕД 3214101090			Штука	
	00000017296		08475 Стрічка- герметик 9,5мм*9,1м.УКТ ЗЕД 4005910090			рулон	
	00000018458		08613 Герметик для вклеювання скла 3 год 310мл.УКТ ЗЕД 3214101090			Штука	
	00000017771		08684 ПУ герметик сірий картридж 310 мл.УКТ ЗЕД 3214101090			Штука	
	00000017769		08689 ПУ герметик білий картридж 310 мл.УКТ ЗЕД 3214101090			Штука	
	00000017630		08694 ПУ герметик чорн. картридж.УКТ ЗЕД 3214101090			Штука	
	00000018674		08840 Шумопоглинаючі самокл. пластини 500мм*500мм.УКТ ЗЕД 6807900090			Штука	
	00000018568		08851 Герметик аерозольний однок. сірий, 290мл.УКТ ЗЕД 3214101090			Штука	
